Details,Sta ID,Route,BEGIN_MP,END_MP,County,AADT,Year,Map,
,034391,034-I -0075  -000,110.8290,112.8340,Fayette,105332,2024,,
,034049,034-I -0075  -000,112.8340,115.2420,Fayette,102098,2022,,
,034I05,034-I -0075  -000,115.2420,117.9440,Fayette,93192,2024,,
,034353,034-I -0075  -000,97.7030,98.5160,Fayette,77137,2024,,
,034392,034-I -0075  -000,109.6770,110.8290,Fayette,75072,2013,,
,034E49,034-KY-0004  -000,4.6110,6.3360,Fayette,74842,2024,,
,034250,034-I -0075  -000,108.2470,109.6770,Fayette,74777,2024,,
,034P90,034-I -0075  -000,98.5160,103.89,Fayette,74123,2024,,
,034B96,034-US-0027  -000,2.0350,2.4220,Fayette,69662,2024,,
,034D91,034-KY-0004  -000,17.7480,19.2830,Fayette,68026,2024,,
,034D93,034-KY-0004  -000,0,2.2240,Fayette,67559,2024,,
,105291,034-I -0075  -000,119.8730,120.7920,Fayette,67317,2024,,
,034D88,034-KY-0004  -000,16.1230,17.7480,Fayette,67031,2024,,
,034P75,034-KY-0004  -000,2.2240,4.6110,Fayette,66837,2024,,
,034E54,034-KY-0004  -000,6.3360,7.2390,Fayette,64381,2024,,
,034D64,034-KY-0004  -000,8.7310,9.3240,Fayette,62223,2023,,
,034782,034-I -0075  -000,117.9440,119.8730,Fayette,60731,2023,,
,034336,034-I -0075  -000,103.89,108.2470,Fayette,59279,2024,,
,034E58,034-KY-0004  -000,7.2390,8.7310,Fayette,57060,2019,,
,034G55,034-KY-0004  -000,14.8430,16.1230,Fayette,56977,2024,,
,034G54,034-US-0027  -000,0.9450,2.0350,Fayette,50883,2024,,
,034520,034-US-0060  -000,0,3.13,Fayette,48170,2024,,
,034G51,034-US-0060  -000,3.13,4.6220,Fayette,47583,2024,,
,034D75,034-KY-0004  -000,13.6690,14.8430,Fayette,47553,2024,,
,034C85,034-US-0027  -000,0,0.9450,Fayette,45641,2024,,
,034D65,034-KY-0922  -000,2.3790,3.3690,Fayette,44352,2019,,
,034D66,034-KY-0004  -000,9.3240,10.3560,Fayette,43815,2018,,
,034D73,034-US-0060  -000,10.1010,11.9650,Fayette,43440,2024,,
,034E00,034-US-0025  -000,10.1440,10.7940,Fayette,43427,2024,,
,034G73,034-CS-4524  -000,13.4540,14.2540,Fayette,41846,2022,,
,034F99,034-CS-4524  -000,11.8230,12.7920,Fayette,41713,2022,,
,034D67,034-KY-0004  -000,10.3560,10.6650,Fayette,41299,2024,,
,025755,034-I -0064  -000,87.4330,89.48,Fayette,40242,2024,,
,034D79,034-CS-4524  -000,14.2540,15.2410,Fayette,39955,2022,,
,034D74,034-KY-0004  -000,12.7040,13.6690,Fayette,39424,2022,,
,034F45,034-KY-0922  -000,1.5320,2.3790,Fayette,39271,2019,,
,034273,034-I -0064  -000,81.0370,87.4330,Fayette,38365,2024,,
,034D70,034-KY-0004  -000,10.6650,11.3390,Fayette,37927,2024,,
,034F10,034-US-0068  -000,4.3190,5.6390,Fayette,37680,2023,,
,034E46,034-US-0027  -000,2.4220,3.5310,Fayette,36486,2024,,
,034E04,034-KY-0004  -000,11.3390,12.7040,Fayette,36351,2024,,
,034P74,034-I -0064  -000,71,74.7290,Fayette,35991,2024,,
,034D85,034-US-0025  -000,9.7340,10.1440,Fayette,35676,2024,,
,034C03,034-KY-1974  -000,8.84,9.4550,Fayette,35634,2022,,
,034G32,034-US-0025  -000,8.14,9.7340,Fayette,35449,2024,,
,034A59,034-US-0421  -000,1.7980,2.2960,Fayette,34889,2024,,
,034F42,034-US-0068  -000,2.4030,3.14,Fayette,33819,2020,,
,034D12,034-CS-3016  -000,3.2530,3.8880,Fayette,33424,2023,,
,034B16,034-US-0027  -000,4.6740,5.1620,Fayette,33042,2023,,
,034B92,034-US-0068  -000,3.14,4.3190,Fayette,32782,2024,,
,034D99,034-US-0068  -000,0.6680,1.6690,Fayette,32533,2019,,
,034D18,034-CS-4524  -000,12.7920,13.4540,Fayette,31797,2023,,
,034G00,034-US-0068  -000,1.6690,2.4030,Fayette,31698,2023,,
,034A22,034-US-0027  -000,3.5310,4.6740,Fayette,31022,2024,,
